Frequency (Hz)	Level (dB)
5.383301	-43.450672
10.766602	-47.190353
16.149902	-53.710236
21.533203	-58.774349
26.916504	-58.184242
32.299805	-58.507423
37.683105	-63.531528
43.066406	-69.666656
48.449707	-66.312103
53.833008	-64.601547
59.216309	-68.989914
64.599609	-68.170837
69.982910	-71.648354
75.366211	-71.605881
80.749512	-71.067482
86.132812	-70.307442
91.516113	-69.386795
96.899414	-71.779938
102.282715	-68.646759
107.666016	-70.684151
113.049316	-68.435432
118.432617	-61.638054
123.815918	-60.729889
129.199219	-62.304905
134.582520	-66.458893
139.965820	-66.662239
145.349121	-71.758965
150.732422	-68.863213
156.115723	-67.236732
161.499023	-66.500145
166.882324	-66.702072
172.265625	-65.042374
177.648926	-68.436111
183.032227	-70.769539
188.415527	-72.970123
193.798828	-72.350235
199.182129	-71.471588
204.565430	-73.202507
209.948730	-77.000084
215.332031	-74.382950
220.715332	-74.597511
226.098633	-78.936211
231.481934	-76.786583
236.865234	-74.481232
242.248535	-74.025917
247.631836	-76.371925
253.015137	-72.244461
258.398438	-70.831154
263.781738	-69.353996
269.165039	-71.632103
274.548340	-70.352470
279.931641	-73.623222
285.314941	-78.753044
290.698242	-79.821091
296.081543	-79.645493
301.464844	-77.083412
306.848145	-76.917610
312.231445	-73.747818
317.614746	-75.182808
322.998047	-79.565903
328.381348	-80.696976
333.764648	-81.757042
339.147949	-84.448730
344.531250	-77.099648
349.914551	-77.471870
355.297852	-77.218056
360.681152	-80.604065
366.064453	-82.192673
371.447754	-73.732536
376.831055	-71.547119
382.214355	-74.073563
387.597656	-79.352882
392.980957	-77.370743
398.364258	-77.913414
403.747559	-78.470169
409.130859	-71.852104
414.514160	-70.883827
419.897461	-72.696999
425.280762	-82.894806
430.664062	-80.578094
436.047363	-77.382675
441.430664	-78.332558
446.813965	-79.685410
452.197266	-79.307640
457.580566	-80.611908
462.963867	-79.141541
468.347168	-79.821281
473.730469	-78.640022
479.113770	-83.652710
484.497070	-89.299469
489.880371	-82.525024
495.263672	-84.107964
500.646973	-80.699829
506.030273	-76.621223
511.413574	-77.185326
516.796875	-76.816772
522.180176	-79.078239
