Frequency (Hz)	Level (dB)
5.383301	-51.026657
10.766602	-73.678246
16.149902	-68.657028
21.533203	-71.776154
26.916504	-62.207478
32.299805	-64.146362
37.683105	-78.972588
43.066406	-70.819572
48.449707	-70.708199
53.833008	-71.394440
59.216309	-70.154724
64.599609	-70.471771
69.982910	-77.666389
75.366211	-83.296257
80.749512	-81.395515
86.132812	-71.907166
91.516113	-69.792709
96.899414	-73.291664
102.282715	-75.054077
107.666016	-67.092529
113.049316	-70.361511
118.432617	-70.093521
123.815918	-64.075806
129.199219	-63.907509
134.582520	-69.975128
139.965820	-73.180222
145.349121	-70.297348
150.732422	-67.958977
156.115723	-84.450569
161.499023	-80.520683
166.882324	-71.517654
172.265625	-70.185219
177.648926	-74.047737
183.032227	-80.247849
188.415527	-74.406395
193.798828	-71.572235
199.182129	-79.760849
204.565430	-79.887032
209.948730	-78.526237
215.332031	-75.260750
220.715332	-71.740868
226.098633	-67.621475
231.481934	-73.538467
236.865234	-72.933182
242.248535	-73.090919
247.631836	-75.257980
253.015137	-73.744446
258.398438	-73.258247
263.781738	-75.113602
269.165039	-81.855988
274.548340	-75.016518
279.931641	-72.359756
285.314941	-69.937927
290.698242	-69.521912
296.081543	-70.502075
301.464844	-74.656807
306.848145	-82.901611
312.231445	-76.880775
317.614746	-90.043549
322.998047	-81.100731
328.381348	-81.781189
333.764648	-85.280273
339.147949	-84.379913
344.531250	-78.490166
349.914551	-71.883575
355.297852	-71.828133
360.681152	-79.543083
366.064453	-99.194473
371.447754	-82.666817
376.831055	-84.714272
382.214355	-89.705009
387.597656	-80.141991
392.980957	-87.196037
398.364258	-77.123627
403.747559	-85.193298
409.130859	-81.438454
414.514160	-85.526878
419.897461	-80.668251
425.280762	-76.147896
430.664062	-76.683197
436.047363	-79.971764
441.430664	-82.366463
446.813965	-73.049637
452.197266	-67.155579
457.580566	-70.050415
462.963867	-67.341324
468.347168	-65.536407
473.730469	-79.289330
479.113770	-76.319603
484.497070	-76.662758
489.880371	-67.449242
495.263672	-63.011490
500.646973	-62.880169
506.030273	-60.813740
511.413574	-60.050167
516.796875	-64.871674
522.180176	-62.507221
527.563477	-65.202438
532.946777	-52.403873
538.330078	-50.423000
543.713379	-67.300522
549.096680	-48.617466
554.479980	-27.277081
559.863281	-18.590012
565.246582	-22.530434
570.629883	-47.580597
576.013184	-54.425419
581.396484	-65.366585
586.779785	-63.515461
592.163086	-64.129761
597.546387	-62.221050
602.929688	-60.386986
608.312988	-71.834259
613.696289	-75.934837
619.079590	-71.852371
624.462891	-69.524574
629.846191	-83.889465
635.229492	-75.051605
640.612793	-72.871269
645.996094	-70.394501
651.379395	-71.085533
656.762695	-79.144882
662.145996	-74.988770
667.529297	-75.130547
672.912598	-77.749100
678.295898	-81.131165
683.679199	-87.942268
689.062500	-81.449661
694.445801	-81.870102
699.829102	-79.244011
705.212402	-75.510826
710.595703	-76.517914
715.979004	-84.987732
721.362305	-84.141136
726.745605	-77.064056
732.128906	-71.501129
737.512207	-76.729851
742.895508	-76.793457
748.278809	-74.442093
753.662109	-80.757370
759.045410	-73.317162
