Frequency (Hz)	Level (dB)
5.383301	-53.350658
10.766602	-60.859692
16.149902	-68.564148
21.533203	-67.834175
26.916504	-68.422600
32.299805	-64.927765
37.683105	-68.552216
43.066406	-67.728806
48.449707	-66.029366
53.833008	-64.884995
59.216309	-67.195641
64.599609	-67.097542
69.982910	-71.866028
75.366211	-73.593689
80.749512	-71.745239
86.132812	-72.030090
91.516113	-71.454224
96.899414	-69.745598
102.282715	-69.133102
107.666016	-71.491852
113.049316	-71.221832
118.432617	-61.529793
123.815918	-59.483418
129.199219	-59.032555
134.582520	-64.315865
139.965820	-70.414833
145.349121	-73.063698
150.732422	-69.359390
156.115723	-71.872086
161.499023	-71.000275
166.882324	-69.154480
172.265625	-66.844070
177.648926	-71.235405
183.032227	-77.059792
188.415527	-76.217758
193.798828	-76.134102
199.182129	-73.660843
204.565430	-77.298134
209.948730	-74.888161
215.332031	-73.131256
220.715332	-73.635033
226.098633	-76.467796
231.481934	-71.490082
236.865234	-71.514221
242.248535	-73.006134
247.631836	-69.598160
253.015137	-68.242447
258.398438	-71.448051
263.781738	-75.481407
269.165039	-68.962433
274.548340	-66.391960
279.931641	-70.125923
285.314941	-73.441338
290.698242	-76.674225
296.081543	-80.572464
301.464844	-77.843948
306.848145	-80.081627
312.231445	-83.023766
317.614746	-82.618065
322.998047	-83.317390
328.381348	-84.932983
333.764648	-81.918159
339.147949	-78.611809
344.531250	-81.138870
349.914551	-84.617638
355.297852	-82.889793
360.681152	-82.734726
366.064453	-82.092697
371.447754	-80.286118
376.831055	-79.225754
382.214355	-82.499825
387.597656	-82.273438
392.980957	-81.256638
398.364258	-83.350487
403.747559	-83.621445
409.130859	-84.537636
414.514160	-82.018753
419.897461	-81.384781
425.280762	-80.401718
430.664062	-81.459999
436.047363	-81.830650
441.430664	-78.731094
446.813965	-78.516273
452.197266	-81.234894
457.580566	-83.263313
462.963867	-80.795647
468.347168	-78.157829
473.730469	-81.016792
479.113770	-80.647118
484.497070	-81.604141
489.880371	-79.904724
495.263672	-76.902977
500.646973	-75.539726
506.030273	-76.421257
511.413574	-76.059792
516.796875	-79.686287
