Frequency (Hz)	Level (dB)
5.383301	-46.944679
10.766602	-48.409542
16.149902	-52.798550
21.533203	-56.813248
26.916504	-60.224701
32.299805	-60.656235
37.683105	-60.136593
43.066406	-61.141258
48.449707	-65.270378
53.833008	-68.873169
59.216309	-67.349739
64.599609	-66.410789
69.982910	-67.410606
75.366211	-69.076935
80.749512	-67.751335
86.132812	-68.047981
91.516113	-71.212318
96.899414	-70.099815
102.282715	-67.106155
107.666016	-68.642868
113.049316	-65.164169
118.432617	-59.046326
123.815918	-61.580925
129.199219	-59.260979
134.582520	-61.364460
139.965820	-65.186691
145.349121	-72.915253
150.732422	-68.241768
156.115723	-66.316628
161.499023	-67.506912
166.882324	-65.782707
172.265625	-66.727989
177.648926	-69.327293
183.032227	-70.646362
188.415527	-71.094070
193.798828	-74.738441
199.182129	-76.430191
204.565430	-71.702843
209.948730	-72.794830
215.332031	-71.702515
220.715332	-68.237831
226.098633	-73.419365
231.481934	-73.866844
236.865234	-75.104202
242.248535	-68.296165
247.631836	-61.858097
253.015137	-63.860798
258.398438	-69.785896
263.781738	-69.334747
269.165039	-67.952538
274.548340	-66.710625
279.931641	-69.729782
285.314941	-75.239204
290.698242	-71.727287
296.081543	-75.468872
301.464844	-74.774422
306.848145	-77.671661
312.231445	-81.691727
317.614746	-74.232407
322.998047	-70.717789
328.381348	-74.781700
333.764648	-79.465477
339.147949	-82.642502
344.531250	-79.717407
349.914551	-75.998184
355.297852	-72.422485
360.681152	-76.399445
366.064453	-79.267723
371.447754	-76.376480
376.831055	-80.886223
382.214355	-82.030777
387.597656	-76.434273
392.980957	-72.009842
398.364258	-75.524239
403.747559	-82.375305
409.130859	-83.292625
414.514160	-77.756432
419.897461	-73.694687
425.280762	-72.633789
430.664062	-77.965668
436.047363	-84.795128
441.430664	-84.715286
446.813965	-86.040504
452.197266	-87.086159
457.580566	-80.379494
462.963867	-82.744385
468.347168	-76.424698
473.730469	-75.677658
479.113770	-78.870087
484.497070	-73.833862
489.880371	-73.479012
495.263672	-75.901649
500.646973	-79.560303
506.030273	-79.263718
511.413574	-77.854416
516.796875	-73.656731
522.180176	-74.435463
527.563477	-81.989098
532.946777	-76.372429
538.330078	-79.978554
543.713379	-75.936859
549.096680	-75.303635
554.479980	-73.786980
559.863281	-71.052559
565.246582	-69.695740
570.629883	-71.803017
576.013184	-66.313408
581.396484	-60.356907
586.779785	-55.057972
592.163086	-45.285229
597.546387	-39.190430
602.929688	-39.459068
608.312988	-46.757961
613.696289	-58.476406
619.079590	-64.538010
624.462891	-63.173100
629.846191	-58.663647
635.229492	-54.746811
640.612793	-46.596382
645.996094	-47.086163
651.379395	-45.752041
656.762695	-25.929464
662.145996	-18.488214
667.529297	-23.332281
672.912598	-50.733391
678.295898	-58.554668
683.679199	-61.353394
689.062500	-56.548710
694.445801	-62.102955
699.829102	-69.047607
705.212402	-65.663719
710.595703	-66.022621
715.979004	-65.129181
721.362305	-66.785011
726.745605	-69.511673
732.128906	-70.415222
737.512207	-67.493843
742.895508	-68.652740
748.278809	-65.839752
753.662109	-67.710579
759.045410	-70.550240
764.428711	-69.222725
769.812012	-71.175507
775.195312	-75.589676
780.578613	-75.581200
785.961914	-76.269653
791.345215	-76.397667
796.728516	-76.299522
802.111816	-74.791161
807.495117	-76.838905
812.878418	-73.618248
818.261719	-70.595322
823.645020	-72.543823
829.028320	-78.029053
834.411621	-78.868645
839.794922	-76.516533
845.178223	-75.966560
850.561523	-72.177864
855.944824	-77.899162
861.328125	-73.074547
866.711426	-75.765862
872.094727	-83.481529
877.478027	-81.735291
882.861328	-73.825752
888.244629	-71.091545
893.627930	-75.515533
899.011230	-78.839371
904.394531	-80.971062
909.777832	-78.777275
915.161133	-76.523170
920.544434	-79.574295
925.927734	-77.636276
931.311035	-79.530556
936.694336	-79.980850
942.077637	-75.971817
947.460938	-80.837273
952.844238	-83.470490
958.227539	-76.469353
963.610840	-74.899445
968.994141	-79.008598
974.377441	-76.938560
979.760742	-83.185799
985.144043	-72.828636
990.527344	-68.649467
995.910645	-70.798607
1001.293945	-75.712379
1006.677246	-75.019371
1012.060547	-75.081604
1017.443848	-80.826591
1022.827148	-89.924507
1028.210449	-87.725098
1033.593750	-80.019157
1038.977051	-74.197861
1044.360352	-74.364731
1049.743652	-77.344635
1055.126953	-69.450470
1060.510254	-66.690041
1065.893555	-71.281776
1071.276855	-80.994057
1076.660156	-71.999939
1082.043457	-72.279602
1087.426758	-75.138687
1092.810059	-82.814804
1098.193359	-77.475533
1103.576660	-83.955116
1108.959961	-76.287338
1114.343262	-85.493347
1119.726562	-77.091705
1125.109863	-74.508141
1130.493164	-74.085388
1135.876465	-72.862656
1141.259766	-75.863243
1146.643066	-82.460960
1152.026367	-83.342979
1157.409668	-79.342270
1162.792969	-78.648911
1168.176270	-83.210449
1173.559570	-80.701958
1178.942871	-84.859230
1184.326172	-84.062813
1189.709473	-85.572952
1195.092773	-78.477638
1200.476074	-80.626625
1205.859375	-83.132301
1211.242676	-80.639938
1216.625977	-74.288712
1222.009277	-72.208145
1227.392578	-81.342758
1232.775879	-78.157127
1238.159180	-70.577423
1243.542480	-75.009888
1248.925781	-85.708138
1254.309082	-82.119301
1259.692383	-76.896133
1265.075684	-80.694748
1270.458984	-79.823784
1275.842285	-77.290047
1281.225586	-77.463562
1286.608887	-76.789474
1291.992188	-73.959358
1297.375488	-67.052879
1302.758789	-70.725601
1308.142090	-69.243835
1313.525391	-71.464836
1318.908691	-71.079514
1324.291992	-71.596825
1329.675293	-72.065033
1335.058594	-69.045921
1340.441895	-77.502441
1345.825195	-71.166222
1351.208496	-76.271309
1356.591797	-72.612656
1361.975098	-70.844505
1367.358398	-68.198212
1372.741699	-68.853645
1378.125000	-75.736885
1383.508301	-77.634491
1388.891602	-77.399231
1394.274902	-69.496994
1399.658203	-66.864487
1405.041504	-66.520981
1410.424805	-69.721855
1415.808105	-85.927444
1421.191406	-70.499275
1426.574707	-66.102150
1431.958008	-76.355194
1437.341309	-74.105324
1442.724609	-75.418892
1448.107910	-72.469772
1453.491211	-75.698227
1458.874512	-82.997162
1464.257812	-77.565453
1469.641113	-70.987968
1475.024414	-68.647896
1480.407715	-68.285736
1485.791016	-67.051704
1491.174316	-67.452911
1496.557617	-73.235069
1501.940918	-70.460442
1507.324219	-67.121460
1512.707520	-70.293350
1518.090820	-81.808784
1523.474121	-78.950211
1528.857422	-81.912308
1534.240723	-72.845016
1539.624023	-68.978287
1545.007324	-70.407700
1550.390625	-77.417183
1555.773926	-78.256630
1561.157227	-72.906273
1566.540527	-70.509811
1571.923828	-68.505333
1577.307129	-66.623619
1582.690430	-71.614174
1588.073730	-80.498543
1593.457031	-70.970131
1598.840332	-68.310577
1604.223633	-71.842896
1609.606934	-70.643402
1614.990234	-72.816338
1620.373535	-87.131592
1625.756836	-70.911064
1631.140137	-70.068764
1636.523438	-64.625557
1641.906738	-65.785553
1647.290039	-71.111206
1652.673340	-68.912758
1658.056641	-65.579521
1663.439941	-64.484032
1668.823242	-66.041893
1674.206543	-71.784576
1679.589844	-70.007027
1684.973145	-68.287834
1690.356445	-66.084427
1695.739746	-65.931679
1701.123047	-67.866661
1706.506348	-67.984093
1711.889648	-65.237335
1717.272949	-64.428001
1722.656250	-65.859901
1728.039551	-62.820591
1733.422852	-62.838104
1738.806152	-62.594875
1744.189453	-55.821110
1749.572754	-48.786011
1754.956055	-37.608063
1760.339355	-24.328438
1765.722656	-24.889475
1771.105957	-39.762768
1776.489258	-52.817295
1781.872559	-53.297455
1787.255859	-55.767429
1792.639160	-58.119446
1798.022461	-69.206680
1803.405762	-63.021709
1808.789062	-64.207413
1814.172363	-69.465034
1819.555664	-72.759987
1824.938965	-71.848190
1830.322266	-74.675209
1835.705566	-66.778328
1841.088867	-69.518692
1846.472168	-74.496040
1851.855469	-69.800026
1857.238770	-70.097900
1862.622070	-68.639038
1868.005371	-68.738495
1873.388672	-73.122223
1878.771973	-73.929916
1884.155273	-73.140312
1889.538574	-75.327484
1894.921875	-73.221146
1900.305176	-67.078278
1905.688477	-68.214523
1911.071777	-73.417122
1916.455078	-75.996582
1921.838379	-80.573898
1927.221680	-80.656036
1932.604980	-81.589394
1937.988281	-79.958633
1943.371582	-79.310509
1948.754883	-74.617722
1954.138184	-73.117714
1959.521484	-79.743546
1964.904785	-68.713234
1970.288086	-68.867455
1975.671387	-71.348595
1981.054688	-73.755905
1986.437988	-72.242188
1991.821289	-68.766144
1997.204590	-71.402931
2002.587891	-68.341835
2007.971191	-69.830734
2013.354492	-74.478897
2018.737793	-77.385414
2024.121094	-80.689301
2029.504395	-75.067062
2034.887695	-77.855392
2040.270996	-71.461052
2045.654297	-68.122688
2051.037598	-74.816864
2056.420898	-74.867172
2061.804199	-69.897034
2067.187500	-71.810364
2072.570801	-89.407951
2077.954102	-84.513077
2083.337402	-84.510315
2088.720703	-77.402817
2094.104004	-71.952072
2099.487305	-71.354324
2104.870605	-74.245125
2110.253906	-74.339882
2115.637207	-72.944763
2121.020508	-71.696541
2126.403809	-77.198898
2131.787109	-74.428955
2137.170410	-73.406204
2142.553711	-79.962990
2147.937012	-78.987640
2153.320312	-77.945763
2158.703613	-75.730003
2164.086914	-72.829994
2169.470215	-70.588036
2174.853516	-70.918213
2180.236816	-75.380165
2185.620117	-75.834785
2191.003418	-74.735359
2196.386719	-69.689445
2201.770020	-69.871964
2207.153320	-69.314888
2212.536621	-67.420815
2217.919922	-75.418289
2223.303223	-76.933594
2228.686523	-73.799500
2234.069824	-74.421120
2239.453125	-77.045609
2244.836426	-71.824165
2250.219727	-69.982880
2255.603027	-73.655640
2260.986328	-78.976685
2266.369629	-83.584572
2271.752930	-75.217506
2277.136230	-74.454971
2282.519531	-82.083969
2287.902832	-77.671700
2293.286133	-73.401138
2298.669434	-73.434235
2304.052734	-76.032684
2309.436035	-81.567734
2314.819336	-71.370522
2320.202637	-66.317223
2325.585938	-68.240883
2330.969238	-77.061180
2336.352539	-79.109085
2341.735840	-73.537201
2347.119141	-74.022270
2352.502441	-80.957542
2357.885742	-75.878242
2363.269043	-75.271851
2368.652344	-72.756676
2374.035645	-75.934486
2379.418945	-70.418198
2384.802246	-69.318138
2390.185547	-67.243370
2395.568848	-66.827019
2400.952148	-70.094002
2406.335449	-79.214439
2411.718750	-73.946533
2417.102051	-70.504288
2422.485352	-68.968849
2427.868652	-80.093071
2433.251953	-82.744118
2438.635254	-77.124344
2444.018555	-71.593895
2449.401855	-70.721130
2454.785156	-77.469078
2460.168457	-79.263702
2465.551758	-77.299171
2470.935059	-70.995941
2476.318359	-78.525742
2481.701660	-78.420235
2487.084961	-71.703865
2492.468262	-74.884186
2497.851562	-82.569084
2503.234863	-77.852318
2508.618164	-83.483788
2514.001465	-72.425117
2519.384766	-69.436127
2524.768066	-70.260712
2530.151367	-69.196785
2535.534668	-72.258629
2540.917969	-82.300179
2546.301270	-76.395180
2551.684570	-81.012192
2557.067871	-79.535667
2562.451172	-74.193542
2567.834473	-74.909943
2573.217773	-83.478767
2578.601074	-93.065613
2583.984375	-85.726776
2589.367676	-77.989258
2594.750977	-77.929138
2600.134277	-79.857109
2605.517578	-73.953026
2610.900879	-72.465240
2616.284180	-70.233932
2621.667480	-69.687614
2627.050781	-68.318588
2632.434082	-67.344238
2637.817383	-67.501236
2643.200684	-69.527733
2648.583984	-71.789795
2653.967285	-73.667984
2659.350586	-72.483139
2664.733887	-75.095520
2670.117188	-77.446373
2675.500488	-82.051910
2680.883789	-84.349564
2686.267090	-83.846512
2691.650391	-80.862129
2697.033691	-77.077988
2702.416992	-75.096916
2707.800293	-86.114540
2713.183594	-76.827248
2718.566895	-78.462097
2723.950195	-79.582741
2729.333496	-72.145485
2734.716797	-71.223236
2740.100098	-72.989899
2745.483398	-77.042496
2750.866699	-69.714760
2756.250000	-76.769432
2761.633301	-81.894272
2767.016602	-74.482117
2772.399902	-73.037743
2777.783203	-75.990257
2783.166504	-68.546165
2788.549805	-70.228836
2793.933105	-78.556633
2799.316406	-72.640396
2804.699707	-75.253563
2810.083008	-70.705482
2815.466309	-69.965073
2820.849609	-72.186104
2826.232910	-74.630600
2831.616211	-70.037910
2836.999512	-66.596596
2842.382812	-68.996620
2847.766113	-70.869263
2853.149414	-71.522743
2858.532715	-70.520851
2863.916016	-67.483040
2869.299316	-60.928543
2874.682617	-52.489727
2880.065918	-56.591137
2885.449219	-71.162064
2890.832520	-68.553154
2896.215820	-69.068253
2901.599121	-62.336899
2906.982422	-61.029125
2912.365723	-68.105186
2917.749023	-84.311523
2923.132324	-69.041229
2928.515625	-69.481476
2933.898926	-65.724533
2939.282227	-67.114120
2944.665527	-69.207886
2950.048828	-69.027412
2955.432129	-69.251778
2960.815430	-70.695435
2966.198730	-82.429977
2971.582031	-70.463379
2976.965332	-68.262260
2982.348633	-68.019798
2987.731934	-67.026535
2993.115234	-65.207260
2998.498535	-66.455536
3003.881836	-75.443909
3009.265137	-71.553513
3014.648438	-73.573074
3020.031738	-67.424995
3025.415039	-65.509155
3030.798340	-73.444969
3036.181641	-69.495110
3041.564941	-74.708305
3046.948242	-77.929161
3052.331543	-77.594528
3057.714844	-75.537445
3063.098145	-70.359383
3068.481445	-69.923271
3073.864746	-74.768661
3079.248047	-80.518867
3084.631348	-67.431221
3090.014648	-66.492302
3095.397949	-70.580574
3100.781250	-72.147118
3106.164551	-76.844482
3111.547852	-70.997391
3116.931152	-67.425507
3122.314453	-68.576775
3127.697754	-69.958099
3133.081055	-70.046394
3138.464355	-74.185608
3143.847656	-79.322151
3149.230957	-71.121719
3154.614258	-69.283035
3159.997559	-68.348221
3165.380859	-70.650467
3170.764160	-69.980347
3176.147461	-67.404266
3181.530762	-69.589035
3186.914062	-66.272781
3192.297363	-65.495987
3197.680664	-71.780243
3203.063965	-80.014931
3208.447266	-71.409531
3213.830566	-66.382637
3219.213867	-66.812210
3224.597168	-66.482010
3229.980469	-71.539070
3235.363770	-73.751953
3240.747070	-71.793579
3246.130371	-68.809235
3251.513672	-67.844078
3256.896973	-67.652672
3262.280273	-71.515862
3267.663574	-66.518448
3273.046875	-67.518440
3278.430176	-71.308479
3283.813477	-69.446945
3289.196777	-63.172714
3294.580078	-61.466793
3299.963379	-59.868992
3305.346680	-63.308426
3310.729980	-62.322273
3316.113281	-60.803299
3321.496582	-66.385338
