Frequency (Hz)	Level (dB)
5.383301	-47.028408
10.766602	-48.721195
16.149902	-57.327614
21.533203	-63.666103
26.916504	-65.546524
32.299805	-62.450809
37.683105	-65.161751
43.066406	-69.796021
48.449707	-67.120071
53.833008	-65.610870
59.216309	-66.651985
64.599609	-67.221100
69.982910	-68.208511
75.366211	-69.447998
80.749512	-69.486649
86.132812	-69.666489
91.516113	-71.566742
96.899414	-70.235741
102.282715	-69.535988
107.666016	-69.568214
113.049316	-67.726974
118.432617	-61.293755
123.815918	-61.709763
129.199219	-64.865189
134.582520	-62.926895
139.965820	-67.642273
145.349121	-71.602295
150.732422	-68.771805
156.115723	-65.954651
161.499023	-67.958153
166.882324	-68.715034
172.265625	-68.318008
177.648926	-69.386665
183.032227	-72.205421
188.415527	-68.791618
193.798828	-65.351021
199.182129	-64.053001
204.565430	-69.873894
209.948730	-68.180405
215.332031	-66.939865
220.715332	-71.226051
226.098633	-67.022156
231.481934	-67.045944
236.865234	-79.608528
242.248535	-72.375412
247.631836	-68.495911
253.015137	-67.896698
258.398438	-71.384865
263.781738	-74.218719
269.165039	-68.239525
274.548340	-67.685341
279.931641	-71.788811
285.314941	-73.821854
290.698242	-76.740906
296.081543	-77.951744
301.464844	-78.729706
306.848145	-75.106827
312.231445	-71.906700
317.614746	-77.260704
322.998047	-72.770218
328.381348	-77.093971
333.764648	-79.534935
339.147949	-84.460190
344.531250	-76.995956
349.914551	-74.769295
355.297852	-76.680298
360.681152	-82.689552
366.064453	-80.200394
371.447754	-81.786446
376.831055	-82.395470
382.214355	-79.983398
387.597656	-84.685516
392.980957	-80.410873
398.364258	-79.034973
403.747559	-79.469032
409.130859	-79.045601
414.514160	-75.323624
419.897461	-74.471657
425.280762	-76.382286
430.664062	-80.312683
436.047363	-75.374184
441.430664	-78.959267
446.813965	-80.205284
452.197266	-75.317696
457.580566	-74.553688
462.963867	-71.903397
468.347168	-68.730133
473.730469	-68.228409
479.113770	-65.792740
484.497070	-71.123062
489.880371	-66.897087
495.263672	-68.617653
500.646973	-68.569633
506.030273	-68.435089
511.413574	-64.923454
516.796875	-61.779095
522.180176	-65.860390
527.563477	-65.001167
532.946777	-62.176300
538.330078	-56.131371
543.713379	-54.485577
549.096680	-55.339783
554.479980	-46.233665
559.863281	-48.062889
565.246582	-60.566624
570.629883	-64.483780
576.013184	-56.655785
581.396484	-52.050182
586.779785	-50.784630
592.163086	-40.280079
597.546387	-24.159416
602.929688	-21.368668
608.312988	-30.444733
613.696289	-51.841675
619.079590	-54.654819
624.462891	-57.883911
629.846191	-60.180817
635.229492	-64.048866
640.612793	-65.445473
645.996094	-69.800468
651.379395	-66.548943
656.762695	-61.740433
662.145996	-64.906815
667.529297	-63.230003
672.912598	-65.695976
678.295898	-67.909721
683.679199	-67.035645
689.062500	-68.465630
694.445801	-68.123611
699.829102	-69.588196
705.212402	-68.749290
710.595703	-68.747475
715.979004	-71.754341
721.362305	-66.103600
726.745605	-65.801132
732.128906	-68.290955
737.512207	-68.526581
742.895508	-65.791138
748.278809	-69.427643
753.662109	-69.480446
759.045410	-67.527390
764.428711	-68.295990
769.812012	-66.856140
775.195312	-69.630722
780.578613	-75.305000
785.961914	-72.727234
791.345215	-74.314400
796.728516	-74.329857
802.111816	-77.303955
807.495117	-77.674416
812.878418	-76.332848
818.261719	-78.160980
823.645020	-77.426750
829.028320	-70.367966
834.411621	-70.661484
839.794922	-67.850899
845.178223	-68.722252
850.561523	-72.036209
855.944824	-79.121864
861.328125	-75.515282
866.711426	-71.284889
872.094727	-75.797203
877.478027	-83.257568
882.861328	-84.101494
888.244629	-80.865089
893.627930	-78.002281
899.011230	-80.165634
904.394531	-75.591415
909.777832	-73.944695
915.161133	-78.085686
920.544434	-79.415817
925.927734	-78.727898
931.311035	-84.656181
936.694336	-83.814178
942.077637	-76.359344
947.460938	-76.798500
952.844238	-86.309410
958.227539	-80.203842
963.610840	-78.344170
968.994141	-82.936272
974.377441	-77.616241
979.760742	-78.436569
985.144043	-78.777222
990.527344	-73.047630
995.910645	-77.203545
1001.293945	-74.493568
1006.677246	-72.730415
1012.060547	-76.488861
1017.443848	-79.782707
1022.827148	-75.148697
1028.210449	-77.824898
1033.593750	-87.157326
1038.977051	-83.238663
1044.360352	-77.393333
1049.743652	-73.352753
1055.126953	-69.326874
1060.510254	-66.633385
1065.893555	-68.365555
1071.276855	-77.257675
1076.660156	-77.024109
1082.043457	-72.735977
1087.426758	-74.657326
1092.810059	-92.851318
1098.193359	-74.979210
1103.576660	-77.570419
1108.959961	-82.985329
1114.343262	-78.617271
1119.726562	-78.919754
1125.109863	-77.261757
1130.493164	-72.055061
1135.876465	-69.670609
1141.259766	-71.483917
1146.643066	-75.867821
1152.026367	-79.143509
1157.409668	-88.045563
1162.792969	-84.903648
1168.176270	-85.157211
1173.559570	-76.916428
1178.942871	-76.451744
1184.326172	-78.607010
1189.709473	-75.351349
1195.092773	-73.124336
1200.476074	-79.144264
1205.859375	-76.199089
1211.242676	-80.416290
1216.625977	-73.333931
1222.009277	-72.221115
1227.392578	-75.588028
1232.775879	-74.984558
1238.159180	-75.468361
1243.542480	-77.192001
1248.925781	-76.942085
1254.309082	-80.292793
1259.692383	-83.282028
1265.075684	-83.474258
1270.458984	-80.888474
1275.842285	-80.256065
1281.225586	-76.300270
1286.608887	-81.361542
1291.992188	-73.899567
1297.375488	-75.006470
1302.758789	-82.162224
1308.142090	-76.520851
1313.525391	-73.041168
1318.908691	-75.090065
1324.291992	-73.690620
1329.675293	-71.663506
1335.058594	-69.564255
1340.441895	-72.519844
1345.825195	-65.599380
1351.208496	-71.847984
1356.591797	-74.117226
1361.975098	-67.902145
1367.358398	-66.333389
1372.741699	-69.169197
1378.125000	-78.790283
1383.508301	-67.340836
1388.891602	-67.907310
1394.274902	-67.641045
1399.658203	-63.192379
1405.041504	-60.990620
1410.424805	-63.004410
1415.808105	-66.446945
1421.191406	-63.843323
1426.574707	-65.859589
1431.958008	-80.995979
1437.341309	-72.595276
1442.724609	-70.040016
1448.107910	-71.495728
1453.491211	-77.258247
1458.874512	-78.845032
1464.257812	-70.483391
1469.641113	-70.332794
1475.024414	-67.631714
1480.407715	-67.029236
1485.791016	-67.444077
1491.174316	-69.724113
1496.557617	-74.154129
1501.940918	-73.079117
1507.324219	-68.160706
1512.707520	-68.579384
1518.090820	-76.613220
1523.474121	-77.307777
1528.857422	-74.353287
1534.240723	-71.521141
1539.624023	-69.419395
1545.007324	-66.584007
1550.390625	-70.548141
1555.773926	-69.451675
1561.157227	-74.435883
1566.540527	-82.127869
1571.923828	-66.232635
1577.307129	-64.264877
1582.690430	-74.131363
1588.073730	-52.824360
1593.457031	-43.741524
1598.840332	-47.021271
1604.223633	-65.059067
1609.606934	-63.524555
1614.990234	-64.789970
1620.373535	-78.539841
1625.756836	-67.657967
1631.140137	-63.153503
1636.523438	-61.980774
1641.906738	-68.739632
1647.290039	-59.674412
1652.673340	-45.158375
1658.056641	-41.293175
1663.439941	-46.842178
1668.823242	-54.733379
1674.206543	-67.569641
1679.589844	-65.850975
1684.973145	-67.146225
1690.356445	-64.787292
1695.739746	-68.902481
1701.123047	-66.912262
1706.506348	-75.203140
1711.889648	-78.216690
1717.272949	-67.116547
1722.656250	-63.776047
1728.039551	-65.339020
1733.422852	-71.825989
1738.806152	-73.948334
1744.189453	-73.014488
1749.572754	-75.674026
1754.956055	-70.814697
1760.339355	-64.956261
1765.722656	-65.392227
1771.105957	-73.748772
1776.489258	-65.201546
1781.872559	-62.965378
1787.255859	-64.540092
1792.639160	-70.315788
1798.022461	-79.927704
1803.405762	-82.204132
1808.789062	-72.635101
1814.172363	-72.341072
1819.555664	-69.551933
1824.938965	-69.668945
1830.322266	-74.681328
1835.705566	-81.899635
1841.088867	-71.296722
1846.472168	-70.404266
1851.855469	-72.107529
1857.238770	-71.587479
1862.622070	-73.017235
1868.005371	-77.169456
1873.388672	-75.827957
1878.771973	-74.697601
1884.155273	-72.998962
1889.538574	-76.786301
1894.921875	-75.041237
1900.305176	-76.915810
1905.688477	-77.318367
1911.071777	-72.273849
1916.455078	-67.203659
1921.838379	-68.919891
1927.221680	-71.006294
1932.604980	-74.400902
1937.988281	-73.836548
1943.371582	-75.921227
1948.754883	-75.181725
1954.138184	-67.441437
1959.521484	-65.168541
1964.904785	-65.082664
1970.288086	-68.870613
1975.671387	-69.322258
1981.054688	-74.694885
1986.437988	-70.470764
1991.821289	-66.386925
1997.204590	-64.923172
2002.587891	-66.448334
2007.971191	-69.455116
2013.354492	-74.246986
2018.737793	-79.704941
2024.121094	-89.842834
2029.504395	-70.776382
2034.887695	-68.108780
2040.270996	-73.889618
2045.654297	-69.695663
2051.037598	-65.362671
2056.420898	-65.592125
2061.804199	-72.479492
2067.187500	-77.663979
2072.570801	-67.455284
2077.954102	-69.025383
2083.337402	-76.779221
2088.720703	-78.664528
2094.104004	-76.053192
2099.487305	-84.293312
2104.870605	-73.469498
2110.253906	-70.936783
2115.637207	-70.389542
2121.020508	-68.332588
2126.403809	-70.976883
2131.787109	-85.026756
2137.170410	-72.455597
2142.553711	-72.315239
2147.937012	-76.938866
2153.320312	-72.538445
2158.703613	-72.667091
2164.086914	-71.548920
2169.470215	-67.757706
2174.853516	-69.592880
2180.236816	-76.983864
2185.620117	-67.435036
2191.003418	-73.465988
2196.386719	-82.093719
2201.770020	-68.994072
2207.153320	-66.042747
2212.536621	-66.403130
2217.919922	-70.161613
2223.303223	-70.720505
2228.686523	-70.196518
2234.069824	-70.953232
2239.453125	-72.634857
2244.836426	-72.320732
2250.219727	-77.311890
2255.603027	-68.695816
2260.986328	-72.844002
2266.369629	-82.518219
2271.752930	-68.902466
