Frequency (Hz)	Level (dB)
5.383301	-46.846207
10.766602	-48.371925
16.149902	-52.957211
21.533203	-57.634872
26.916504	-61.012947
32.299805	-61.074715
37.683105	-60.695095
43.066406	-61.407925
48.449707	-65.209923
53.833008	-68.987816
59.216309	-67.443962
64.599609	-66.619896
69.982910	-67.749786
75.366211	-69.591393
80.749512	-68.333969
86.132812	-68.336700
91.516113	-70.457169
96.899414	-70.642479
102.282715	-67.735458
107.666016	-68.777611
113.049316	-65.976257
118.432617	-59.167274
123.815918	-60.632130
129.199219	-59.263741
134.582520	-61.053028
139.965820	-65.199989
145.349121	-72.982132
150.732422	-68.362862
156.115723	-66.264931
161.499023	-68.291428
166.882324	-66.470261
172.265625	-66.209702
177.648926	-69.431549
183.032227	-72.195618
188.415527	-71.115837
193.798828	-74.934174
199.182129	-78.949577
204.565430	-72.644905
209.948730	-72.757744
215.332031	-71.752571
220.715332	-69.112862
226.098633	-74.829590
231.481934	-75.893166
236.865234	-77.440620
242.248535	-70.292648
247.631836	-64.184013
253.015137	-66.623405
258.398438	-74.264061
263.781738	-73.111145
269.165039	-70.505196
274.548340	-68.575020
279.931641	-70.658066
285.314941	-74.990463
290.698242	-72.794052
296.081543	-75.536385
301.464844	-75.453094
306.848145	-77.537933
312.231445	-83.235352
317.614746	-75.626160
322.998047	-72.410500
328.381348	-75.085358
333.764648	-79.712227
339.147949	-83.239922
344.531250	-80.198235
349.914551	-75.289124
355.297852	-73.553993
360.681152	-76.812622
366.064453	-79.418991
371.447754	-77.957199
376.831055	-81.134087
382.214355	-82.257599
387.597656	-79.005669
392.980957	-74.571617
398.364258	-76.132446
403.747559	-83.111130
409.130859	-88.053047
414.514160	-78.258469
419.897461	-74.361771
425.280762	-73.590141
430.664062	-77.791512
436.047363	-86.164780
441.430664	-86.316040
446.813965	-86.120453
452.197266	-87.994011
457.580566	-81.176918
462.963867	-81.164940
468.347168	-77.375214
473.730469	-76.743446
479.113770	-81.241974
484.497070	-75.369720
489.880371	-76.022820
495.263672	-76.820496
500.646973	-79.172348
506.030273	-80.773560
511.413574	-78.979027
516.796875	-75.182465
522.180176	-76.072914
527.563477	-83.407944
532.946777	-77.265747
538.330078	-81.027901
543.713379	-76.889648
549.096680	-77.126686
554.479980	-73.858162
559.863281	-70.747620
565.246582	-70.282280
570.629883	-70.693207
576.013184	-68.308937
581.396484	-61.431381
586.779785	-57.086441
592.163086	-46.860603
597.546387	-40.819912
602.929688	-41.014843
608.312988	-48.208027
613.696289	-58.723949
619.079590	-64.330193
624.462891	-64.447060
629.846191	-60.281239
635.229492	-57.786953
640.612793	-48.862667
645.996094	-52.338005
651.379395	-50.421207
656.762695	-25.865036
662.145996	-18.539154
667.529297	-23.421326
672.912598	-52.601059
678.295898	-58.437302
683.679199	-62.705833
689.062500	-57.446369
694.445801	-61.591934
699.829102	-68.184196
705.212402	-66.279816
710.595703	-66.180763
715.979004	-65.494682
721.362305	-67.151428
726.745605	-69.667084
732.128906	-70.368034
737.512207	-67.475647
742.895508	-70.522881
748.278809	-66.551895
753.662109	-68.596100
759.045410	-70.751396
764.428711	-69.849442
769.812012	-71.213112
775.195312	-76.129280
780.578613	-75.496292
785.961914	-76.487915
791.345215	-76.718666
796.728516	-76.788826
802.111816	-76.150002
807.495117	-75.655869
812.878418	-75.310326
818.261719	-71.909645
823.645020	-73.291374
829.028320	-77.867851
834.411621	-78.804802
839.794922	-79.021111
845.178223	-80.484711
850.561523	-75.326836
855.944824	-77.999336
861.328125	-74.713417
866.711426	-75.302917
872.094727	-83.295471
877.478027	-81.668289
882.861328	-74.932037
888.244629	-72.736092
893.627930	-77.328842
899.011230	-80.821831
904.394531	-85.140549
909.777832	-81.540550
915.161133	-78.485062
920.544434	-79.575661
925.927734	-78.925354
931.311035	-80.718193
936.694336	-79.317078
942.077637	-78.080147
947.460938	-82.993881
952.844238	-86.326294
958.227539	-77.643669
963.610840	-77.312393
968.994141	-85.430161
974.377441	-80.586288
979.760742	-79.639610
985.144043	-74.395851
990.527344	-71.485840
995.910645	-74.085289
1001.293945	-80.298973
1006.677246	-77.825798
1012.060547	-76.140282
1017.443848	-81.457047
1022.827148	-90.116348
1028.210449	-88.795982
1033.593750	-81.586769
1038.977051	-76.897224
1044.360352	-76.663048
1049.743652	-75.330368
1055.126953	-70.966156
1060.510254	-68.803551
1065.893555	-72.551102
1071.276855	-82.203674
1076.660156	-73.528969
1082.043457	-73.620766
1087.426758	-77.461197
1092.810059	-88.508995
1098.193359	-81.030457
1103.576660	-89.003120
1108.959961	-78.399048
1114.343262	-82.815514
1119.726562	-78.433083
1125.109863	-76.100746
1130.493164	-76.570648
1135.876465	-74.532585
1141.259766	-76.246445
1146.643066	-81.535439
1152.026367	-82.234535
1157.409668	-79.092995
1162.792969	-79.659576
1168.176270	-87.309959
1173.559570	-82.567787
1178.942871	-83.529228
1184.326172	-85.787277
1189.709473	-89.451866
1195.092773	-81.880737
1200.476074	-86.320839
1205.859375	-89.466972
1211.242676	-84.731285
1216.625977	-77.748184
1222.009277	-74.658279
1227.392578	-82.562012
1232.775879	-79.866585
1238.159180	-72.624023
1243.542480	-76.767365
1248.925781	-85.248932
1254.309082	-83.145195
1259.692383	-78.935753
1265.075684	-81.850410
1270.458984	-80.875816
1275.842285	-76.913582
1281.225586	-77.961311
1286.608887	-77.355873
1291.992188	-73.854309
1297.375488	-67.534500
1302.758789	-70.757973
1308.142090	-70.526878
1313.525391	-73.300446
1318.908691	-72.873253
1324.291992	-71.778625
1329.675293	-71.301964
1335.058594	-70.978783
1340.441895	-82.143433
1345.825195	-73.523773
1351.208496	-75.093742
1356.591797	-73.801537
1361.975098	-72.630363
1367.358398	-70.029549
1372.741699	-71.513756
1378.125000	-79.173050
1383.508301	-82.254074
1388.891602	-83.011734
1394.274902	-71.189705
1399.658203	-69.001457
1405.041504	-69.160934
1410.424805	-72.129066
1415.808105	-79.354362
1421.191406	-73.123291
1426.574707	-68.501678
1431.958008	-75.372406
1437.341309	-77.502373
1442.724609	-81.035065
1448.107910	-74.431160
1453.491211	-75.916405
1458.874512	-83.363770
1464.257812	-79.446503
1469.641113	-73.768234
1475.024414	-70.846222
1480.407715	-69.904587
1485.791016	-68.693687
1491.174316	-69.040962
1496.557617	-76.351601
1501.940918	-71.930321
1507.324219	-68.747986
1512.707520	-72.043373
